,Unnamed: 0,cancion,danceability,energy,speachiness,acousticness,tempo,generos
198,198,LOVE. FEAT. ZACARI.,0.8,0.585,0.0924,0.264,126.058,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
199,199,Madonna,0.905,0.492,0.0595,0.0149,110.017,"['dance pop', 'pop']"
200,200,Entre las de 20,0.774,0.736,0.0452,0.0933,135.788,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']"
201,201,Si No Quieres No,0.786,0.786,0.0512,0.445,100.123,"['corrido', 'corridos tumbados', 'norteno', 'sad sierreno', 'sierreno']"
202,202,Vicio Duro,0.779,0.576,0.0381,0.311,119.981,[]
203,203,"Natanael Cano: Bzrp Music Sessions, Vol. 59",0.671,0.8,0.0695,0.0595,166.9,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']"
204,204,Y LLORO,0.728,0.589,0.0376,0.424,77.475,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']"
205,205,Brillarosa,0.771,0.782,0.0341,0.305,125.027,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']"
206,206,300 Noches,0.795,0.781,0.0812,0.296,124.133,"['corrido', 'corridos tumbados', 'norteno', 'sierreno']"
207,207,Sola Va A Caer,0.88,0.689,0.118,0.166,115.959,"['salsa', 'salsa puertorriquena']"
208,208,El Boss,0.777,0.535,0.0559,0.0661,132.272,"['corrido', 'sierreno']"
209,209,EXCESOS,0.742,0.873,0.0519,0.172,128.053,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']"
210,210,Elvira,0.76,0.711,0.0646,0.0812,128.134,"['corrido', 'corridos tumbados', 'sierreno']"
211,211,La Torre,0.182,0.114,0.0348,0.974,69.665,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']"
212,212,ADIVINO,0.786,0.854,0.0741,0.169,117.994,"['reggaeton', 'trap latino', 'urbano latino']"
213,213,Que Onda,0.808,0.944,0.0408,0.183,124.934,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']"
214,214,Santa,0.89,0.281,0.3,0.471,149.984,[]
215,215,LADY GAGA,0.502,0.761,0.0389,0.47,164.784,[]
216,216,MÏA,0.84,0.762,0.226,0.00736,99.987,"['dance pop', 'pop', 'urban contemporary']"
217,217,RUBICON,0.868,0.745,0.268,0.187,139.9,"['corridos tumbados', 'sad sierreno']"
218,218,BARBIEZ,0.62,0.738,0.0292,0.00879,127.982,[]
219,219,La Diabla,0.751,0.819,0.0409,0.255,131.842,['sad sierreno']
220,220,Don Dimadon,0.858,0.811,0.187,0.015,121.976,[]
221,221,LUNA,0.704,0.433,0.196,0.0708,113.943,['drift phonk']
222,222,LA PEOPLE II,0.823,0.785,0.0542,0.296,131.849,"['corridos tumbados', 'sad sierreno']"
223,223,Corazón de Piedra,0.834,0.763,0.0835,0.0354,134.844,['sad sierreno']
224,224,HARLEY QUINN,0.793,0.761,0.11,0.067,125.045,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']"
225,225,En Terapia,0.743,0.893,0.0589,0.136,94.044,[]
226,226,Mas Altas Que Bajadas,0.577,0.573,0.156,0.00561,181.072,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']"
