,Unnamed: 0.1,Unnamed: 0,cancion,danceability,energy,speachiness,acousticness,tempo,artista,imagenes,urlSpot
70,70,70,Running on Empty,0.541,0.711,0.0383,0.0635,136.58,Jackson Browne,https://i.scdn.co/image/ab67616d0000b2738d6479b1461b26b8b6603935,https://open.spotify.com/album/5ivr226sTfgyZMeWnQjKRL
71,71,71,Sweet Dreams (Are Made of This) - Remastered,0.519,0.512,0.0279,0.28,110.156,The Big 80s Guys,https://i.scdn.co/image/ab67616d0000b273ad45cdf01f006a197bae44a4,https://open.spotify.com/album/3GSfTcKoI5AfyhNpD18jxO
72,72,72,Counting Stars,0.56,0.737,0.0389,0.00502,122.021,OneRepublic,https://i.scdn.co/image/ab67616d0000b273103a8fd17ff6b4de98b84aa4,https://open.spotify.com/album/0LJTgowzVzFnvPMIV7mQd6
73,73,73,New Beginnings,0.187,0.0178,0.0385,0.953,67.406,Dusty Clav,https://i.scdn.co/image/ab67616d0000b273859cae42d3935bebe95e8c95,https://open.spotify.com/album/1DI0QDtYduUlszEVcY2Swu
74,74,74,Africa,0.798,0.423,0.103,0.155,124.976,Lofi Fruits Music,https://i.scdn.co/image/ab67616d0000b273d919e9cd4bf366e18f209c51,https://open.spotify.com/album/2UmBlu5D2OXBuyylhZ9mOa
75,75,75,We Will Rock You - Remastered 2011,0.146,0.924,0.0855,0.016,173.411,The Cast Of 'We Will Rock You',https://i.scdn.co/image/ab67616d0000b273a17e7152dbc48c4079a2ea41,https://open.spotify.com/album/45kqhI3kl71xDWr0eWyjIL
76,76,76,Time of Our Lives,0.721,0.802,0.0583,0.0921,124.022,Pitbull,https://i.scdn.co/image/ab67616d0000b273da4f6706ae0f2501c61ce776,https://open.spotify.com/album/3x2uer6Xh0d5rF8toWpRDA
77,77,77,Lose Yourself,0.692,0.744,0.257,0.00868,171.374,Eminem,https://i.scdn.co/image/ab67616d0000b273eab40fc794b88b9d1e012578,https://open.spotify.com/album/5qENHeCSlwWpEzb25peRmQ
78,78,78,Locked out of Heaven,0.726,0.698,0.0431,0.049,143.994,Bruno Mars,https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46,https://open.spotify.com/album/58ufpQsJ1DS5kq4hhzQDiI
79,79,79,Do I Wanna Know?,0.548,0.532,0.0323,0.186,85.03,Lofi Fruits Music,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,https://open.spotify.com/album/78bpIziExqiI9qztvNFlQu
80,80,80,Valencia,0.779,0.815,0.0553,0.438,90.524,.multibeat,https://i.scdn.co/image/ab67616d0000b273ff612437ec87074c5fc688e5,https://open.spotify.com/album/1fYibTIKGYuOV0le0LwMvZ
81,81,81,"Shakira: Bzrp Music Sessions, Vol. 53",0.842,0.745,0.0399,0.281,122.06,Bizarrap,https://i.scdn.co/image/ab67616d0000b2732b6d78c5a3f6247aa997b812,https://open.spotify.com/album/1gi2iwr1l8IUyHYHxi01pg
82,82,82,Titanium (feat. Sia),0.604,0.788,0.103,0.0678,126.06,David Guetta,https://i.scdn.co/image/ab67616d0000b273a197a2ef3ad6704d1f44aa4e,https://open.spotify.com/album/5aprcHwM1KJhaY9Kbxkfkn
83,83,83,Cold Heart - PNAU Remix,0.796,0.798,0.0317,0.034,116.032,Elton John,https://i.scdn.co/image/ab67616d0000b2739f5cce8304c42d3a5463fd23,https://open.spotify.com/album/5D8Rdb09BkmHscEGSWAlA6
84,84,84,PABLO - Sped Up,0.706,0.384,0.176,0.0137,95.004,xryce,https://i.scdn.co/image/ab67616d0000b273e051ccf24e68facfa737b634,https://open.spotify.com/album/4LP5qC6d971GNOQggd3ves
85,85,85,The Real Slim Shady,0.949,0.661,0.0572,0.0302,104.504,Eminem,https://i.scdn.co/image/ab67616d0000b273dbb3dd82da45b7d7f31b1b42,https://open.spotify.com/album/6t7956yu5zYf5A829XRiHC
86,86,86,Set Fire to the Rain,0.716,0.777,0.0284,0.0291,126.991,BADDIES ONLY,https://i.scdn.co/image/ab67616d0000b2737b829a08d49ca6086281cd0d,https://open.spotify.com/album/0iUW7ZLSxxNN8YtPnmshfZ
87,87,87,No Role Modelz,0.657,0.33,0.0299,0.698,79.962,J. Cole,https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8,https://open.spotify.com/album/0UMMIkurRUmkruZ3KGBLtG
88,88,88,I Failed You,0.31,0.721,0.268,0.0387,169.976,phreshboyswag,https://i.scdn.co/image/ab67616d0000b273e015a44c12846572798ce6d6,https://open.spotify.com/album/77DQU4F8GfAv7NXnolHsb5
89,89,89,Chop Suey!,0.417,0.934,0.119,0.000278,127.066,System Of A Down,https://i.scdn.co/image/ab67616d0000b27330d45198d0c9e8841f9a9578,https://open.spotify.com/album/6jWde94ln40epKIQCd8XUh
90,90,90,Ni**as In Paris,0.789,0.858,0.311,0.127,140.022,JAY-Z,https://i.scdn.co/image/ab67616d0000b27352e61456aa4995ba48d94e30,https://open.spotify.com/album/0OcMap99vLEeGkBCfCwRwS
91,91,91,Sweater Weather,0.612,0.807,0.0336,0.0495,124.053,The Neighbourhood,https://i.scdn.co/image/ab67616d0000b273d425066031fb32f5916a0099,https://open.spotify.com/album/2cKig247X2NwNhUIzuiBDN
92,92,92,All Girls Are The Same,0.671,0.529,0.307,0.0769,161.989,Juice WRLD,https://i.scdn.co/image/ab67616d0000b2736a831aeca9c101825a655b72,https://open.spotify.com/album/4TAzpXkWYb1PqsACEXG8sI
93,93,93,Mockingbird,0.794,0.31,0.106,0.832,185.324,fenekot,https://i.scdn.co/image/ab67616d0000b2737e117efda7b80643f7155073,https://open.spotify.com/album/6bUsLdSxxbHDdt7nXi6VK5
94,94,94,Why'd You Only Call Me When You're High?,0.358,0.0668,0.0381,0.951,146.005,Neo Soundz,https://i.scdn.co/image/ab67616d0000b27374078855efe298f50b463b84,https://open.spotify.com/album/4YSqx9JUCiJU431fOxcoYO
95,95,95,Cape Cabo,0.72,0.725,0.277,0.34,180.063,Player1,https://i.scdn.co/image/ab67616d0000b273c24018290e94caa302917e13,https://open.spotify.com/album/76eaxTAvRMbAlDqP6cQ7zY
96,96,96,Feel Good Inc.,0.768,0.374,0.174,0.551,130.017,LAV8,https://i.scdn.co/image/ab67616d0000b2732a0378e63c1548a7ceea5447,https://open.spotify.com/album/2VJHjsmXACarvKY0qhP404
97,97,97,Workout,0.776,0.608,0.0569,0.0109,149.991,Dj 2Ble RD,https://i.scdn.co/image/ab67616d0000b273758f24ced78e29586d931404,https://open.spotify.com/album/26RLXRJA7aOOffZJGjUaSW
98,98,98,Payphone,0.739,0.756,0.0394,0.0136,110.028,Maroon 5,https://i.scdn.co/image/ab67616d0000b273ce7d499847da02a9cbd1c084,https://open.spotify.com/album/2pjfMmH52fryXVQuWTWOgP
99,99,99,Not Like Us,0.898,0.472,0.0776,0.0107,101.061,Brantley Gilbert,https://i.scdn.co/image/ab67616d0000b2735e324e5b7f9d613a819c3d83,https://open.spotify.com/album/54NjC2mCWlhIE3Ji4G9Vl0
100,100,100,MILLION DOLLAR BABY,0.849,0.699,0.0436,0.0982,138.003,Tommy Richman,https://i.scdn.co/image/ab67616d0000b273ce31aff39a003828576d3930,https://open.spotify.com/album/52TwRwdTUMtkpglbOE5IRz
101,101,101,euphoria,0.823,0.337,0.738,0.645,145.922,Labrinth,https://i.scdn.co/image/ab67616d0000b273288364fd24f708ea8f4e4036,https://open.spotify.com/album/2csybKDw0lTcrFPF6HbQXd
102,102,102,Like That,0.856,0.339,0.173,0.0516,136.159,1600j,https://i.scdn.co/image/ab67616d0000b273346a8d0abcf3b6cc9120bd17,https://open.spotify.com/album/0PVeHnjMNnsSZs0USV4nFX
103,103,103,Family Matters,0.603,0.483,0.216,0.00384,133.983,Drake,https://i.scdn.co/image/ab67616d0000b273a0ac23f4b446a7264e67bf0e,https://open.spotify.com/album/3qwCuSISrIUpyt6sB5edmQ
104,104,104,Fortnight (feat. Post Malone),0.504,0.386,0.0308,0.502,192.004,Taylor Swift,https://i.scdn.co/image/ab67616d0000b2736e23a0e8c57bc6e6ba1a669b,https://open.spotify.com/album/3BjA1DQTgKYzDp84cmGgYc
105,105,105,System,0.531,0.621,0.426,0.602,112.352,NXI,https://i.scdn.co/image/ab67616d0000b27344da9fd90561a9d8dd0d3814,https://open.spotify.com/album/5sktmM1asxMgunqxW4vJms
106,106,106,A Bar Song (Tipsy),0.722,0.709,0.0273,0.0633,81.012,Shaboozey,https://i.scdn.co/image/ab67616d0000b27380d86d636244b72a3a1eede2,https://open.spotify.com/album/6egBeCLeGITzGSo5VyRjwZ
107,107,107,meet the grahams,0.565,0.922,0.117,0.000244,130.033,Lil Double 0,https://i.scdn.co/image/ab67616d0000b27312de80f22edaa7bf1a6f24f5,https://open.spotify.com/album/1LJWyyP756YVEeIRa6DU74
108,108,108,Para Dey!,0.421,0.238,0.0427,0.771,148.001,José Feliciano,https://i.scdn.co/image/ab67616d0000b2732dc977c20e99e13c16b629dc,https://open.spotify.com/album/2X9Ou9FH5gBa3w9coyWVF9
109,109,109,Espresso,0.701,0.76,0.0285,0.107,103.969,Ollie Joseph,https://i.scdn.co/image/ab67616d0000b273c05a328faddfd54ae08a1352,https://open.spotify.com/album/2yIhXdfQKrzp7ENGxxI92c
110,110,110,Fly Guys,0.779,0.408,0.333,0.0295,95.087,BossMan Dlow,https://i.scdn.co/image/ab67616d0000b273ffa6e26b32933fed980ba2c8,https://open.spotify.com/album/4C0ygkaQ743p2qKoJSfkmk
111,111,111,Down Bad,0.541,0.366,0.0748,0.56,159.707,Taylor Swift,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,https://open.spotify.com/album/5H7ixXZfsNMGbIE5OBSpcb
112,112,112,Beautiful Things,0.472,0.471,0.0603,0.151,105.029,Benson Boone,https://i.scdn.co/image/ab67616d0000b273bef221ea02a821e7feeda9cf,https://open.spotify.com/album/29aSKB1qPEbN0Qf9OPSQpw
113,113,113,Ginger,0.605,0.919,0.349,0.136,129.961,Rucka Rucka Ali,https://i.scdn.co/image/ab67616d0000b2732c485c1ce116eab594545fe1,https://open.spotify.com/album/65XilTQ54EEMa9yp6dYPW2
114,114,114,Too Sweet,0.803,0.597,0.141,0.000619,136.008,Drake,https://i.scdn.co/image/ab67616d0000b2732e8b4358d044b75807e30bf0,https://open.spotify.com/album/1vL2mgGTukkrUxXt0loeTN
115,115,115,I Can Do It With a Broken Heart,0.701,0.751,0.0502,0.123,129.994,Taylor Swift,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,https://open.spotify.com/album/5H7ixXZfsNMGbIE5OBSpcb
116,116,116,Gata Only,0.791,0.499,0.0509,0.446,99.986,FloyyMenor,https://i.scdn.co/image/ab67616d0000b2731d0777b3259d0bd618f4a1f6,https://open.spotify.com/album/5tSQtQGkrCJx3hoQxmLgfM
117,117,117,Type Shit,0.64,0.552,0.129,0.0215,144.941,Future,https://i.scdn.co/image/ab67616d0000b273a46b07c291e6dfdee13b3ee8,https://open.spotify.com/album/4iqbFIdGOTzXeDtt9owjQn
118,118,118,Pop Girl,0.834,0.571,0.0615,0.64,109.937,Mother Goose Club,https://i.scdn.co/image/ab67616d0000b27355ec7bdd96887942a0948281,https://open.spotify.com/album/0sF3OFdtFfxv1RYyaYk0aL
